,Unnamed: 0,season,opening_date,name,theatre,type,all_nominations,all_Wins,tony_best_musical_nom,tony_best_musical_winner,tony_best_revival_musical_nom,tony_best_revival_musical_winner,tony_best_play_nom,tony_best_play_winner,tony_best_revival_play_nom,tony_best_revival_play_winner,performances,previews,play,musical,revival,year
895,895,2007,2007-11-01,Duran Duran: Red Carpet Massacre,Ethel Barrymore Theatre,Original,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,2007
896,896,2007,2007-11-01,Cyrano de Bergerac,Richard Rodgers Theatre,Play Drama Revival,4,1,0,0,0,0,0,0,0,0,56,21,1,0,1,2007
897,897,2007,2007-11-04,Rock 'n' Roll,Bernard B. Jacobs Theatre,Original,9,0,0,0,0,0,1,0,0,0,123,16,1,0,0,2007
898,898,2007,2007-11-08,Young Frankenstein,Hilton Theatre,Musical Original,22,1,0,0,0,0,0,0,0,0,485,29,0,1,0,2007
899,899,2007,2007-11-09,Dr. Seuss' How the Grinch Stole Christmas!,St. James Theatre,Revival,0,0,0,0,0,0,0,0,0,0,96,13,1,0,1,2007
900,900,2007,2007-12-02,Cymbeline,Vivian Beaumont Theater,Revival,0,0,0,0,0,0,0,0,0,0,40,34,1,0,1,2007
901,901,2007,2007-12-03,The Farnsworth Invention,Music Box Theatre,Original,2,1,0,0,0,0,0,0,0,0,104,34,1,0,0,2007
902,902,2007,2007-12-04,August: Osage County,Imperial Theatre,Play Original,20,15,0,0,0,0,1,1,0,0,648,18,1,0,0,2007
903,903,2007,2007-12-06,The Seafarer,Booth Theatre,Original,8,2,0,0,0,0,1,0,0,0,133,19,1,0,0,2007
904,904,2007,2007-12-09,Is He Dead?,Lyceum Theatre,Original,2,0,0,0,0,0,0,0,0,0,105,13,1,0,0,2007
905,905,2007,2007-12-16,The Homecoming,Cort Theatre,Drama Revival,7,2,0,0,0,0,0,0,1,0,137,15,1,0,1,2007
906,906,2007,2008-01-10,The Little Mermaid,Lunt-Fontanne Theatre,Original,6,0,0,0,0,0,0,0,0,0,685,50,1,0,0,2008
907,907,2007,2008-01-15,The 39 Steps,American Airlines Theatre,Original,14,5,0,0,0,0,1,0,0,0,771,23,1,0,0,2008
908,908,2007,2008-01-17,November,Ethel Barrymore Theatre,Original,3,1,0,0,0,0,0,0,0,0,205,33,1,0,0,2008
909,909,2007,2008-01-24,"Come Back, Little Sheba",Biltmore Theatre,Revival,4,0,0,0,0,0,0,0,0,0,58,27,1,0,1,2008
910,910,2007,2008-02-21,Sunday in the Park with George,Studio 54,Musical Revival,23,5,0,0,1,0,0,0,0,0,149,32,0,1,1,2008
911,911,2007,2008-02-28,Passing Strange,Belasco Theatre,Musical Original,19,7,1,0,0,0,0,0,0,0,165,20,0,1,0,2008
912,912,2007,2008-03-06,Cat on a Hot Tin Roof,Broadhurst Theatre,Play Drama Revival,1,1,0,0,0,0,0,0,0,0,125,27,1,0,1,2008
913,913,2007,2008-03-09,In the Heights,Richard Rodgers Theatre,Musical Original,14,5,1,1,0,0,0,0,0,0,1185,29,0,1,0,2008
914,914,2007,2008-03-27,Gypsy,St. James Theatre,Revival,19,9,0,0,1,0,0,0,0,0,332,27,1,0,1,2008
915,915,2007,2008-03-31,You May Now Worship Me,Eugene O'Neill Theatre,Original,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2008
916,916,2007,2008-04-03,South Pacific,Vivian Beaumont Theater,Revival,31,20,0,0,1,1,0,0,0,0,996,37,1,0,1,2008
917,917,2007,2008-04-08,Macbeth,Lyceum Theatre,Revival,9,0,0,0,0,0,0,0,1,0,52,11,1,0,1,2008
918,918,2007,2008-04-17,A Catered Affair,Walter Kerr Theatre,Musical Original,19,2,0,0,0,0,0,0,0,0,116,25,0,1,0,2008
919,919,2007,2008-04-24,Cry-Baby,Marquis Theatre,Musical Comedy Original,10,3,1,0,0,0,0,0,0,0,68,45,0,1,0,2008
920,920,2007,2008-04-27,The Country Girl,Bernard B. Jacobs Theatre,Revival,2,0,0,0,0,0,0,0,0,0,97,25,1,0,1,2008
921,921,2007,2008-04-30,Thurgood,Booth Theatre,Original,4,2,0,0,0,0,0,0,0,0,126,19,1,0,0,2008
922,922,2007,2008-05-01,Les Liaisons Dangereuses,American Airlines Theatre,Revival,17,5,0,0,0,0,0,0,1,0,77,22,1,0,1,2008
923,923,2007,2008-05-04,Boeing-Boeing,Longacre Theatre,Revival,11,5,0,0,0,0,0,0,1,1,279,17,1,0,1,2008
924,924,2007,2008-05-06,Glory Days,Circle in the Square Theatre,Original,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,2008
925,925,2007,2008-05-07,Top Girls,Biltmore Theatre,Original,2,0,0,0,0,0,0,0,0,0,63,24,1,0,0,2008
926,926,2008,2008-05-19,Mandy Patinkin on Broadway,Gerald Schoenfeld Theatre,Original,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2008
927,927,2008,2008-06-26,Cirque Dreams,Broadway Theatre,Original,0,0,0,0,0,0,0,0,0,0,70,10,1,0,0,2008
928,928,2008,2008-07-17,[title of show],Lyceum Theatre,Original,1,0,0,0,0,0,0,0,0,0,102,13,1,0,0,2008
929,929,2008,2008-09-18,A Tale of Two Cities,Al Hirschfeld Theatre,Original,5,0,0,0,0,0,0,0,0,0,60,33,1,0,0,2008
930,930,2008,2008-09-25,Equus,Broadhurst Theatre,Revival,7,2,0,0,0,0,0,0,0,0,156,21,1,0,1,2008
931,931,2008,2008-10-02,The Seagull,Walter Kerr Theatre,Play Revival,3,0,0,0,0,0,0,0,0,0,94,18,1,0,1,2008
932,932,2008,2008-10-05,13,Bernard B. Jacobs Theatre,Original,2,0,0,0,0,0,0,0,0,0,105,22,1,0,0,2008
933,933,2008,2008-10-07,A Man for All Seasons,American Airlines Theatre,Revival,1,0,0,0,0,0,0,0,0,0,73,29,1,0,1,2008
934,934,2008,2008-10-14,To Be Or Not to Be,Samuel J. Friedman Theatre,Original,0,0,0,0,0,0,0,0,0,0,40,32,1,0,0,2008
935,935,2008,2008-10-16,All My Sons,Gerald Schoenfeld Theatre,Play Revival,0,0,0,0,0,0,0,0,0,0,101,32,1,0,1,2008
936,936,2008,2008-10-23,Speed-the-Plow,Ethel Barrymore Theatre,Revival,4,0,0,0,0,0,0,0,0,0,140,24,1,0,1,2008
937,937,2008,2008-10-27,The Yellow Brick Road Not Taken,Gershwin Theatre,Original,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2008
938,938,2008,2008-11-13,Billy Elliot: The Musical,Imperial Theatre,Musical Original,43,35,1,1,0,0,0,0,0,0,1312,40,0,1,0,2008
939,939,2008,2008-11-17,The 24 Hour Plays 2008,American Airlines Theatre,Original,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2008
940,940,2008,2008-11-17,American Buffalo,Belasco Theatre,Revival,0,0,0,0,0,0,0,0,0,0,8,20,1,0,1,2008
941,941,2008,2008-11-20,Dividing the Estate,Booth Theatre,Original,2,0,0,0,0,0,1,0,0,0,50,31,1,0,0,2008
942,942,2008,2008-11-23,Irving Berlin's White Christmas,Marquis Theatre,Musical Original,0,0,0,0,0,0,0,0,0,0,53,12,0,1,0,2008
943,943,2008,2008-12-03,Liza's at the Palace....,Palace Theatre,Concert Special Solo Original,4,2,0,0,0,0,0,0,0,0,22,0,1,0,0,2008
944,944,2008,2008-12-07,Slava's Snowshow,Helen Hayes Theatre,Original,1,0,0,0,0,0,0,0,0,0,35,7,1,0,0,2008
945,945,2008,2008-12-14,Shrek the Musical,Broadway Theatre,Musical Original,31,8,1,0,0,0,0,0,0,0,441,37,0,1,0,2008
946,946,2008,2008-12-18,Pal Joey,Studio 54,Musical Revival,10,0,0,0,1,0,0,0,0,0,85,37,0,1,1,2008
947,947,2008,2009-01-15,Soul of Shaolin,Marquis Theatre,Original,2,0,0,0,0,0,0,0,0,0,21,3,1,0,0,2009
948,948,2008,2009-01-22,The American Plan,Samuel J. Friedman Theatre,Original,0,0,0,0,0,0,0,0,0,0,70,22,1,0,0,2009
949,949,2008,2009-01-25,Hedda Gabler,American Airlines Theatre,Revival,0,0,0,0,0,0,0,0,0,0,74,21,1,0,1,2009
950,950,2008,2009-02-05,You're Welcome America,Cort Theatre,Comedy Original,1,0,0,0,0,0,0,0,0,0,46,18,1,0,0,2009
951,951,2008,2009-02-19,The Story of My Life,Booth Theatre,Original,4,0,0,0,0,0,0,0,0,0,5,19,1,0,0,2009
952,952,2008,2009-03-01,Guys and Dolls,Nederlander Theatre,Musical Revival,3,0,0,0,1,0,0,0,0,0,121,28,0,1,1,2009
953,953,2008,2009-03-09,33 Variations,Eugene O'Neill Theatre,Drama Original,15,2,0,0,0,0,1,0,0,0,85,31,1,0,0,2009
954,954,2008,2009-03-15,Blithe Spirit,Sam S. Shubert Theatre,Revival,12,5,0,0,0,0,0,0,0,0,145,20,1,0,1,2009
955,955,2008,2009-03-19,West Side Story,Palace Theatre,Musical Revival,13,3,0,0,1,0,0,0,0,0,748,27,0,1,1,2009
956,956,2008,2009-03-22,God of Carnage,Bernard B. Jacobs Theatre,Original,11,7,0,0,0,0,1,1,0,0,452,24,1,0,0,2009
957,957,2008,2009-03-24,Impressionism,Gerald Schoenfeld Theatre,Original,0,0,0,0,0,0,0,0,0,0,56,23,1,0,0,2009
958,958,2008,2009-03-26,Exit the King,Ethel Barrymore Theatre,Revival,13,5,0,0,0,0,0,0,0,0,93,21,1,0,1,2009
959,959,2008,2009-03-29,Irena's Vow,Walter Kerr Theatre,Original,1,0,0,0,0,0,0,0,0,0,105,23,1,0,0,2009
960,960,2008,2009-03-31,Hair,Al Hirschfeld Theatre,Musical Revival,21,4,0,0,1,1,0,0,0,0,519,29,0,1,1,2009
961,961,2008,2009-04-02,Reasons to Be Pretty,Lyceum Theatre,Original,9,1,0,0,0,0,1,0,0,0,85,21,1,0,0,2009
962,962,2008,2009-04-07,Rock of Ages,Brooks Atkinson Theatre,Musical Original,9,1,1,0,0,0,0,0,0,0,2328,22,0,1,0,2009
963,963,2008,2009-04-15,Next to Normal,Booth Theatre,Musical Original,12,4,1,0,0,0,0,0,0,0,734,20,0,1,0,2009
964,964,2008,2009-04-16,Joe Turner's Come and Gone,Belasco Theatre,Revival,7,3,0,0,0,0,0,0,1,0,69,31,1,0,1,2009
965,965,2008,2009-04-19,Mary Stuart,Broadhurst Theatre,Revival,14,2,0,0,0,0,0,0,1,0,137,22,1,0,1,2009
966,966,2008,2009-04-23,The Norman Conquests: Round and Round the Garden,Circle in the Square Theatre,Revival,0,0,0,0,0,0,0,0,0,0,40,6,1,0,1,2009
967,967,2008,2009-04-23,The Norman Conquests,Circle in the Square Theatre,Revival,19,9,0,0,0,0,0,0,1,1,109,18,1,0,1,2009
968,968,2008,2009-04-24,The Norman Conquests: Table Manners,Circle in the Square Theatre,Revival,0,0,0,0,0,0,0,0,0,0,41,7,1,0,1,2009
969,969,2008,2009-04-25,The Norman Conquests: Living Together,Circle in the Square Theatre,Revival,0,0,0,0,0,0,0,0,0,0,28,5,1,0,1,2009
970,970,2008,2009-04-26,The Philanthropist,American Airlines Theatre,Comedy Revival,0,0,0,0,0,0,0,0,0,0,73,19,1,0,1,2009
971,971,2008,2009-04-27,Desire Under the Elms,St. James Theatre,Revival,5,0,0,0,0,0,0,0,0,0,32,16,1,0,1,2009
972,972,2008,2009-04-27,The 23rd Annual Easter Bonnet Competition - 2009,Minskoff Theatre,Original,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2009
973,973,2008,2009-04-29,Accent on Youth,Samuel J. Friedman Theatre,Revival,0,0,0,0,0,0,0,0,0,0,71,24,1,0,1,2009
974,974,2008,2009-04-30,Waiting for Godot,Studio 54,Play Drama Revival,10,0,0,0,0,0,0,0,1,0,84,32,1,0,1,2009
975,975,2008,2009-04-30,9 to 5,Marquis Theatre,Musical Comedy Original,23,1,0,0,0,0,0,0,0,0,148,24,0,1,0,2009
976,976,2009,2009-08-02,Burn the Floor,Longacre Theatre,Original,1,0,0,0,0,0,0,0,0,0,185,8,1,0,0,2009
977,977,2009,2009-09-29,A Steady Rain,Gerald Schoenfeld Theatre,Play Original,0,0,0,0,0,0,0,0,0,0,81,21,1,0,0,2009
978,978,2009,2009-10-01,Superior Donuts,Music Box Theatre,Original,4,2,0,0,0,0,0,0,0,0,109,17,1,0,0,2009
979,979,2009,2009-10-04,Wishful Drinking,Studio 54,Solo Original,2,1,0,0,0,0,0,0,0,0,133,15,1,0,0,2009
980,980,2009,2009-10-06,Hamlet,Broadhurst Theatre,Drama Revival,7,0,0,0,0,0,0,0,0,0,72,25,1,0,1,2009
981,981,2009,2009-10-08,The Royal Family,Samuel J. Friedman Theatre,Play Comedy Revival,13,2,0,0,0,0,0,0,1,0,77,26,1,0,1,2009
982,982,2009,2009-10-11,Oleanna,John Golden Theatre,Original,0,0,0,0,0,0,0,0,0,0,65,15,1,0,0,2009
983,983,2009,2009-10-15,Bye Bye Birdie,Henry Miller's Theatre,Revival,0,0,0,0,0,0,0,0,0,0,117,40,1,0,1,2009
984,984,2009,2009-10-19,Memphis,Sam S. Shubert Theatre,Musical Original,25,12,1,1,0,0,0,0,0,0,1166,30,0,1,0,2009
985,985,2009,2009-10-22,After Miss Julie,American Airlines Theatre,Original,0,0,0,0,0,0,0,0,0,0,53,40,1,0,0,2009
986,986,2009,2009-10-25,Brighton Beach Memoirs,Nederlander Theatre,Play Comedy Revival,4,1,0,0,0,0,0,0,0,0,9,25,1,0,1,2009
